date,ret
2020-09-14,-0.04404076277824176
2020-09-15,-0.1004772851329302
2020-09-16,-0.09098162919046537
2020-09-17,-0.09126431694524717
2020-09-18,-0.07630213342721626
2020-09-19,-0.09672524204301614
2020-09-20,-0.1401917344261625
2020-09-21,-0.07754704761930142
2020-09-22,-0.054132925240409024
2020-09-23,-0.06672983873231864
2020-09-24,-0.09293547921100953
2020-09-25,-0.09782589291530663
2020-09-26,-0.08811063158873544
2020-09-27,-0.09506412681588872
2020-09-28,-0.10014839392514752
2020-09-29,-0.09949808519545045
2020-09-30,-0.08785660914455351
2020-10-01,-0.11882971880291127
2020-10-02,-0.1055539243045942
2020-10-03,-0.09877313176424485
2020-10-04,-0.11966894084696023
2020-10-05,-0.09341898088133915
2020-10-06,-0.11765903472979855
2020-10-07,-0.09366182194247574
2020-10-08,-0.12106610377539673
2020-10-09,-0.11532761634763722
2020-10-10,-0.10647498983478587
2020-10-11,-0.10768496555910001
2020-10-12,-0.11861234786288744
2020-10-13,-0.09131397524703389
2020-10-14,-0.12151531445874397
2020-10-15,-0.08905951433680148
2020-10-16,-0.08109789330143102
2020-10-17,-0.088624951594093
2020-10-18,-0.09796376337872004
2020-10-19,-0.1192121762971542
2020-10-20,-0.11413324819378756
2020-10-21,-0.11070900565546249
2020-10-22,-0.11334553054485053
2020-10-23,-0.11707281710730888
2020-10-24,-0.0875617351633633
2020-10-25,-0.10397254889896834
2020-10-26,-0.13142350188560825
2020-10-27,-0.08989551288292819
2020-10-28,-0.0926576359882686
2020-10-29,-0.1284150592222465
2020-10-30,-0.10874646763922313
2020-10-31,-0.11916624461457714
2020-11-01,-0.10239542684197722
2020-11-02,-0.10742553790460674
2020-11-03,-0.1154728730394502
2020-11-04,-0.1367579362487702
2020-11-05,-0.10584892697274162
2020-11-06,-0.10752924785474782
2020-11-07,-0.12034728434582143
2020-11-08,-0.14467623325351642
2020-11-09,-0.08750295915258433
2020-11-10,-0.12280756152733852
2020-11-11,-0.11358675462003476
2020-11-12,-0.11495042756130447
2020-11-13,-0.09629384072164837
2020-11-14,-0.09027125720601425
2020-11-15,-0.11381472410098425
2020-11-16,-0.11774495857596401
2020-11-17,-0.12851968250996026
2020-11-18,-0.09472040539975479
2020-11-19,-0.11090805647956803
2020-11-20,-0.07081992197606779
2020-11-21,-0.09260154335942294
2020-11-22,-0.10648301594149334
2020-11-23,-0.0735453025005064
2020-11-24,-0.07159641427671759
2020-11-25,-0.09085275783261482
2020-11-26,-0.21021823024477726
2020-11-27,-0.13832775467237945
2020-11-28,-0.08959891970738576
2020-11-29,-0.13046484301547046
2020-11-30,-0.10661076935633307
2020-12-01,-0.025416821296885495
2020-12-02,-0.07268249849437947
2020-12-03,-0.05934297972803759
2020-12-04,-0.0802943746407695
2020-12-05,-0.0885337635286031
2020-12-06,-0.09109755470896319
2020-12-07,-0.09509872475831538
2020-12-08,-0.1236984277441241
2020-12-09,-0.11522373014306275
2020-12-10,-0.10610350745218666
2020-12-11,-0.11130253567971748
2020-12-12,-0.12267465468354899
2020-12-13,-0.12116014634856109
2020-12-14,-0.08973076400734736
2020-12-15,-0.12025227338286837
2020-12-16,-0.1426356945173266
2020-12-17,-0.14084996244821824
2020-12-18,-0.08796813759673139
2020-12-19,-0.11025925580580453
2020-12-20,-0.11874561618651602
2020-12-21,-0.12465086367049749
2020-12-22,-0.15189152827382868
2020-12-23,-0.21802933948532455
2020-12-24,-0.10871437397780614
2020-12-25,-0.07442749656164327
2020-12-26,-0.10777640612706818
2020-12-27,-0.11901245473095101
2020-12-28,-0.0959067927209949
2020-12-29,-0.16148014216878925
2020-12-30,-0.07214960485475286
2020-12-31,-0.08189313083116889
2021-01-01,-0.09611012226849425
2021-01-02,-0.27858815227105993
2021-01-03,-0.16207502357113812
2021-01-04,-0.10397771025985225
2021-01-05,-0.03754184797555782
2021-01-06,-0.11139277169051276
2021-01-07,-0.1408127288494766
2021-01-08,-0.17439266364103823
2021-01-09,-0.04601648794065483
