code,name,first_date,last_date,bars
sh688077,大地熊,2020-07-22,2026-09-02,1485
sh688076,ST诺泰,2021-05-20,2026-09-02,1284
sh688080,映翰通,2020-02-12,2026-09-02,1594
sh688087,英科再生,2021-07-09,2026-09-02,1250
sh688089,ST嘉必优,2019-12-19,2026-09-02,1615
sh688086,退市紫晶,2020-02-26,2023-06-30,781
sh688085,三友医疗,2020-04-09,2026-09-02,1550
sh688081,兴图新科,2020-01-06,2026-09-02,1615
sh688084,晶品特装,2022-12-08,2026-09-02,906
sh688083,中望软件,2021-03-11,2026-09-02,1331
sh688079,美迪凯,2021-03-02,2026-09-02,1338
sh688090,瑞松科技,2020-02-17,2026-09-02,1591
sh688082,盛美上海,2021-11-18,2026-09-02,1163
sh688092,爱科科技,2021-03-19,2026-09-02,1325
sh688093,世华科技,2020-09-30,2026-09-02,1435
sh688095,福昕软件,2020-09-08,2026-09-02,1451
sh688088,虹软科技,2019-07-22,2026-09-02,1728
sh688091,上海谊众,2021-09-09,2026-09-02,1206
sh688100,威胜信息,2020-01-21,2026-09-02,1604
sh688096,京源环保,2020-04-09,2026-09-02,1554
sh688099,晶晨股份,2019-08-08,2026-09-02,1715
sh688102,斯瑞新材,2022-03-16,2026-09-02,1085
sh688106,金宏气体,2020-06-16,2026-09-02,1509
sh688097,博众精工,2021-05-12,2026-09-02,1291
sh688103,国力电子,2021-09-10,2026-09-02,1205
sh688108,赛诺医疗,2019-10-30,2026-09-02,1662
sh688107,安路科技,2021-11-12,2026-09-02,1167
sh688109,品茗科技,2021-03-30,2026-09-02,1313
sh688098,申联生物,2019-10-28,2026-09-02,1664
sh688105,诺唯赞,2021-11-15,2026-09-02,1166
sh688101,三达膜,2019-11-15,2026-09-02,1650
sh688110,东芯股份,2021-12-10,2026-09-02,1144
sh688114,华大智造,2022-09-09,2026-09-02,964
sh688111,金山办公,2019-11-18,2026-09-02,1649
sh688118,普元信息,2019-12-04,2026-09-02,1637
sh688113,联测科技,2021-05-06,2026-09-02,1295
sh688116,天奈科技,2019-09-25,2026-09-02,1682
sh688112,鼎阳科技,2021-12-01,2026-09-02,1154
sh688119,中钢洛耐,2022-06-06,2026-09-02,1033
sh688117,圣诺生物,2021-06-03,2026-09-02,1275
sh688121,*ST卓然,2021-09-06,2026-09-02,1166
sh688115,思林杰,2022-03-14,2026-09-02,1077
sh688120,华海清科,2022-06-08,2026-09-02,1031
sh688122,西部超导,2019-07-22,2026-09-02,1728
sh688123,聚辰股份,2019-12-23,2026-09-02,1624
sh688126,沪硅产业,2020-04-20,2026-09-02,1537
sh688125,安达智能,2022-04-15,2026-09-02,1065
sh688130,晶华微,2022-07-29,2026-09-02,994
sh688129,东来技术,2020-10-23,2026-09-02,1424
sh688127,蓝特光学,2020-09-21,2026-09-02,1442
sh688131,皓元医药,2021-06-08,2026-09-02,1262
sh688136,科兴制药,2020-12-14,2026-09-02,1388
sh688133,泰坦科技,2020-10-30,2026-09-02,1419
sh688135,利扬芯片,2020-11-11,2026-09-02,1411
sh688137,近岸蛋白,2022-09-29,2026-09-02,951
sh688132,邦彦技术,2022-09-23,2026-09-02,949
sh688146,中船特气,2023-04-21,2026-09-02,814
sh688138,清溢光电,2019-11-20,2026-09-02,1647
sh688139,海尔生物,2019-10-25,2026-09-02,1655
sh688128,中国电研,2019-11-05,2026-09-02,1658
sh688148,芳源股份,2021-08-06,2026-09-02,1230
sh688152,麒麟信安,2022-10-28,2026-09-02,935
sh688143,长盈通,2022-12-12,2026-09-02,892
sh688147,微导纳米,2022-12-23,2026-09-02,895
sh688151,华强科技,2021-12-06,2026-09-02,1151
sh688153,唯捷创芯,2022-04-12,2026-09-02,1068
sh688150,莱特光电,2022-03-18,2026-09-02,1083
sh688155,先惠技术,2020-08-11,2026-09-02,1471
sh688158,优刻得-W,2020-01-20,2026-09-02,1605
sh688156,路德科技,2020-09-22,2026-09-02,1441
sh688157,松井股份,2020-06-09,2026-09-02,1504
sh688165,埃夫特-U,2020-07-15,2026-09-02,1480
sh688160,步科股份,2020-11-12,2026-09-02,1410
