start,n,cagr,bench_cagr,sharpe,bench_sharpe,excess,win
2007-12-01,4716,0.02637688690013129,0.02400609095925388,0.49478892116868745,0.350055370365739,0.0009776912928360984,True
2008-01-01,4696,0.026345177417951948,0.023993835993389334,0.4944484082171891,0.35025393384383907,0.000964711027334305,True
2008-02-01,4675,0.02539130566192771,0.023048306454461986,0.4776132019494831,0.3381356820327019,0.0009608952018746626,True
2008-03-01,4655,0.02545060154915868,0.023097411237797072,0.4802948966484356,0.3390565064682397,0.0009650236452771084,True
2008-04-01,4635,0.025440285724680267,0.02295202555548337,0.4807370028584843,0.33770564148147975,0.001104060921376493,True
2008-05-01,4613,0.02609790580372695,0.023641323082742582,0.4917927478928643,0.3463369903016499,0.0010693925052254506,True
2008-06-01,4592,0.026874898037615225,0.024405225769611683,0.5058727838825934,0.3560377283929737,0.001074283019730695,True
2008-07-01,4571,0.026831501458483897,0.02408456233457712,0.5049097736138203,0.35176236346563444,0.0013434911306606095,True
2008-08-01,4549,0.0266170637389489,0.023897989888732818,0.5008460258420514,0.34928125941953175,0.0013172786826298952,True
2008-09-01,4528,0.02600450522193376,0.022869347914550975,0.4895444236340316,0.33579239675249606,0.0017242760437840461,True
2008-10-01,4507,0.025690043159763754,0.022447951914924102,0.48561334469402556,0.33163626687334846,0.0018469946584038013,True
2008-11-01,4484,0.026449482705582783,0.023188375292253927,0.5008226415986643,0.34149578250579565,0.0018564685382302729,True
2008-12-01,4465,0.019952719038452527,0.01805665932784728,0.39598052668653977,0.27652268138905384,0.0004921738711673312,True
2009-01-01,4443,0.019322870194052877,0.01647113786638643,0.3848310117507838,0.2562913653888307,0.001448025092922519,True
2009-02-01,4423,0.020179940604915236,0.018648522362702646,0.4005834067732626,0.2855521021987551,0.0001636104844293211,True
2009-03-01,4404,0.020469299200079005,0.019176217804442786,0.4063633391342915,0.2932656935720166,-5.564379206978928e-05,True
2009-04-01,4382,0.019849699056497805,0.01809879979142348,0.39558140517526147,0.2797675925948131,0.00040993355981689544,True
2009-05-01,4361,0.021114606834059302,0.020579152095676623,0.4186768416596398,0.3128538397456132,-0.0007793464559954118,True
2009-06-01,4341,0.022151253090036294,0.02252425004616887,0.4380611768409093,0.3395949617949764,-0.001651881179516066,False
2009-07-01,4319,0.021332985557610984,0.021707582705205564,0.4250904692122053,0.32916516146057906,-0.0016602954851307992,False
2009-08-01,4297,0.021654680012333838,0.022031313987970647,0.4343728475429853,0.33434129823790293,-0.0016687959507283648,False
2009-09-01,4276,0.02051237862201738,0.020890439460352628,0.41443093915400825,0.3192643904732656,-0.0016769916277548855,False
2009-10-01,4255,0.01998295222618207,0.019799876611365397,0.40409568074099345,0.304621841928472,-0.0011244833633822088,True
2009-11-01,4233,0.020545328715277478,0.021018203508850863,0.41442911998380166,0.32110081233542775,-0.0017624603683599332,False
2009-12-01,4213,0.020075623723735836,0.020539374563150137,0.4049907605778404,0.31432959226608354,-0.001756501822636966,False
2010-01-01,4191,0.02146482508413916,0.02267650940593735,0.4305836725948373,0.34279677036923234,-0.002487289877669656,False
2010-02-01,4172,0.020597345530282363,0.021915115213757774,0.4155192825772325,0.33245831079518257,-0.0026039990340497206,False
2010-03-01,4153,0.020384973118118488,0.021708500048825075,0.4119240887680342,0.3295497437883752,-0.00261591234530522,False
2010-04-01,4130,0.021004336496942555,0.02264805499146405,0.4227965870361423,0.3416886263708097,-0.0029308744880787094,False
2010-05-01,4109,0.02002198087763918,0.02167251718383456,0.4049290860788479,0.3285544184042039,-0.002945853403691103,False
2010-06-01,4089,0.018086720598313955,0.019742189673235266,0.37098443478715987,0.3033896964937563,-0.002960262077712248,False
2010-07-01,4067,0.017175274429235055,0.018089960374247926,0.35353535564799365,0.28137701913974494,-0.0022295232470806413,False
2010-08-01,4046,0.017223635319254527,0.018533512080458392,0.3540438045455996,0.28726668244612164,-0.002615391660262329,False
2010-09-01,4024,0.01620372393255254,0.016383565109148845,0.3347527521116066,0.2588511696475105,-0.0014928656987614405,False
2010-10-01,4003,0.016125802326858896,0.016464050089780802,0.333041722563888,0.2600813399696779,-0.0016422561562267762,False
2010-11-01,3982,0.01644541855733017,0.01750283724641477,0.33862916453007186,0.2739420106722975,-0.002348287253951694,False
2010-12-01,3961,0.017311647141329933,0.018881875994456898,0.3550225286588493,0.293028926647602,-0.002837974825002903,False
2011-01-01,3939,0.01805170666273659,0.02002644563868783,0.36912558714395427,0.30893823461389747,-0.0032234925609570947,False
2011-02-01,3919,0.019106837065032467,0.02078040855292418,0.39098294490191043,0.319143797871022,-0.0029414431336658546,False
2011-03-01,3900,0.018319847568064374,0.02025425053670671,0.37711354433551614,0.31189824300658514,-0.003210363799214546,False
2011-04-01,3877,0.018416476933027504,0.02036255120111341,0.3797263990610538,0.3132898720275647,-0.003229409031967837,False
2011-05-01,3857,0.017623595972001915,0.01957824808833264,0.36479314705499527,0.30249326377655467,-0.0032461547360482894,False
2011-06-01,3836,0.015468363378428274,0.017820480278354367,0.3243353150713527,0.27858026031192906,-0.0036535109378842065,False
2011-07-01,3814,0.016789143181164867,0.019157920379345272,0.3504051406779481,0.29654567945655474,-0.0036745852012914186,False
2011-08-01,3794,0.014725345200098383,0.017101790642719106,0.3118940732211345,0.2690205184671639,-0.0036939557084146833,False
2011-09-01,3771,0.012903400898756745,0.013598819326575251,0.2776752949760722,0.22364001921220503,-0.001984488382875788,False
2011-10-01,3750,0.011604638769914022,0.010106269808509927,0.2525914211648333,0.1763655804892676,0.00021553906648002705,True
2011-11-01,3729,0.012095774539787829,0.011142514117383318,0.26243849618230464,0.1914580581254947,-0.000296189884119542,True
2011-12-01,3708,0.012404763181142586,0.011760188968288121,0.26816939937191125,0.20012989305595127,-0.0005951922990806938,True
2012-01-01,3687,0.012031921324738182,0.010965948027742645,0.2607288255878407,0.18928193974144356,-0.00016688879549553795,True
2012-02-01,3667,0.011810817797381246,0.010727704653445524,0.2560778429748094,0.18590602464252243,-0.00014750037954977535,True
2012-03-01,3647,0.012323022373341486,0.011629702634090133,0.2656588708462337,0.19843052436481973,-0.0005311820048311856,True
2012-04-01,3625,0.012829534667293752,0.012612038820008609,0.2751923386476348,0.21218310745327795,-0.0009956879221519818,True
2012-05-01,3605,0.012126651764573282,0.011288653797250303,0.26131011977675994,0.19376203616569151,-0.00037775658066446956,True
2012-06-01,3583,0.010484412805391363,0.007622828532330761,0.22925466068051123,0.142566131822974,0.001635790256482219,True
2012-07-01,3562,0.010965010395373564,0.008588568048326861,0.23821688655315032,0.1560617890384444,0.0011566792237952487,True
2012-08-01,3541,0.01067332161004142,0.007930163961844983,0.2322054692104317,0.1467633337078045,0.0015209987588605655,True
2012-09-01,3518,0.010798985859424848,0.008196078726401046,0.23424028246022452,0.15041764186382012,0.0013831519189517558,True
2012-10-01,3499,0.010983264079120758,0.008722001889089004,0.23747413426088843,0.15774402320603317,0.0010474486544359805,True
2012-11-01,3478,0.011385433316879023,0.009395899105560268,0.24482539277031118,0.16710356589252331,0.000780073748607486,True
2012-12-01,3457,0.011023776196286583,0.008651279892694763,0.2374700056425497,0.156583840187091,0.001158592256006171,True
2013-01-01,3437,0.011684087377213936,0.010006784957532933,0.24965886609723398,0.17535528386425872,0.0004695369426119915,True
2013-02-01,3416,0.01224563013940605,0.011145152348088327,0.2598487712460826,0.19098033302544704,-0.00010340342800037663,True
2013-03-01,3397,0.011651215744119536,0.009980461803865692,0.2481614770016928,0.17471346747590305,0.00046154453209648096,True
2013-04-01,3377,0.011658402530634326,0.01001182192548078,0.24784108263444404,0.17498482462541534,0.00043590740770961187,True
2013-05-01,3355,0.010963928561044334,0.008419275160797213,0.23425910883588372,0.15284317151052262,0.0013283665831398603,True
2013-06-01,3333,0.0124101121307445,0.01122770203851009,0.2612189916881617,0.19173289208140043,-1.6262653986087033e-05,True
2013-07-01,3313,0.013419965750059326,0.012935934809251481,0.27999596120154724,0.21543976956369867,-0.0006998035739779942,True
2013-08-01,3291,0.01495338752156572,0.014465384371520784,0.3102677617989195,0.23679312501880884,-0.0007044816896354458,True
2013-09-01,3269,0.01558548989213282,0.015093897362967956,0.3229245683481013,0.24544651012657998,-0.0007092227716700879,True
2013-10-01,3249,0.014914943256380653,0.014089135172951517,0.30981312786118537,0.23142780022496082,-0.00037968996724861703,True
2013-11-01,3226,0.014721850029731476,0.01389031493525894,0.30594138363948925,0.22834994407908554,-0.00038239699429339427,True
