Date,Open,High,Low,Close,Volume
2018-01-02,72.567171,72.567171,71.534521,71.91003,2014838
2018-01-03,73.503112,74.161911,72.7502,73.126656,3097644
2018-01-04,73.970341,74.910243,72.466496,72.466496,3729328
2018-01-05,73.886986,74.829422,73.792743,74.735179,3395065
2018-01-08,74.964639,75.436115,72.984441,73.738802,2960495
2018-01-09,73.335897,73.897858,71.462694,72.024655,3343874
2018-01-10,71.565866,71.565866,67.647005,68.020229,9123901
2018-01-11,68.432317,68.993238,67.310476,67.871397,3777867
2018-01-12,68.817244,69.943856,67.596747,69.849972,5659087
2018-01-15,69.804884,70.183744,68.668305,68.857735,3541267
2018-01-16,68.467352,70.35091,68.467352,70.068377,4383229
2018-01-17,70.026168,70.590895,69.36732,69.743805,3256624
2018-01-18,71.069603,72.007197,69.944491,70.507047,6199800
2018-01-19,70.39423,70.861655,68.244074,68.52453,3898397
2018-01-22,68.269628,68.269628,66.300312,66.67542,5610463
2018-01-23,67.177511,67.551759,66.335454,66.709702,4671451
2018-01-24,66.743726,68.235206,66.650508,67.489466,3802939
2018-01-25,68.959036,71.589626,67.92559,71.213828,8758929
2018-01-26,71.744498,71.744498,69.678557,70.899341,4296170
2018-01-29,71.957333,72.427643,70.546405,70.828591,3618328
2018-01-30,69.452881,69.73331,68.331165,68.331165,5443314
2018-01-31,67.316834,69.461276,67.316834,68.52891,5800892
2018-02-01,70.06417,70.3448,69.222277,69.596452,2987816
2018-02-02,69.549465,69.64282,67.028881,67.402301,4343077
2018-02-05,64.403078,65.045274,64.036109,64.403078,4058439
2018-02-06,63.203144,65.2154,62.379948,64.209272,5679965
2018-02-07,68.28753,68.380186,65.600503,65.878472,6007913
2018-02-08,65.998419,68.109634,65.723043,67.834258,5586858
2018-02-09,65.793077,67.70938,65.701824,66.97936,5118112
2018-02-12,68.041025,68.964241,67.76406,68.779598,3317876
2018-02-13,70.10835,71.863368,70.015981,71.770999,7814367
2018-02-14,72.340071,73.355046,71.048284,71.601907,3943628
2018-02-19,74.040708,74.134549,71.413154,71.788519,3350577
2018-02-20,71.622093,71.715839,70.497139,70.778377,2507719
2018-02-21,70.673352,71.978665,70.673352,71.698955,2653870
2018-02-22,70.799919,72.009379,70.427778,70.613848,1879461
2018-02-23,70.457747,71.846533,70.365161,71.568776,2404473
2018-02-26,72.837209,73.023256,71.813953,72.093023,2327486
2018-02-27,73.572033,74.039454,73.29158,73.572033,3395415
2018-02-28,72.818906,73.374775,70.966008,71.151297,3102987
2018-03-02,70.520822,71.907208,70.151119,71.537505,2673152
2018-03-05,71.811791,73.109036,71.441149,72.553074,3415061
2018-03-06,74.396743,76.625859,74.303863,76.532979,7588369
2018-03-07,78.633505,78.915683,77.504795,77.786972,4992841
2018-03-08,78.694366,79.069548,76.724662,78.319184,4440076
2018-03-09,78.624265,80.021615,77.413227,77.599541,5159197
2018-03-12,79.78948,80.447344,79.225597,79.78948,2744795
2018-03-13,82.717652,84.597599,82.341663,84.597599,8775741
2018-03-14,83.739683,85.240058,83.64591,85.052511,5939290
2018-03-15,84.984232,85.172459,83.384307,84.32544,4106667
2018-03-16,82.807018,84.116959,81.590643,84.023392,5006430
2018-03-19,84.282527,85.497242,83.62845,84.002208,3743718
2018-03-20,82.916726,83.662883,82.077299,83.569614,3083666
2018-03-21,83.695293,84.349162,82.200734,82.574374,2942484
2018-03-22,83.461787,83.93173,82.709879,83.27381,2698169
2018-03-23,78.803591,80.007406,76.673764,76.951568,7310739
2018-03-26,76.025605,77.596,74.824714,77.596,6121334
