Date,Open,High,Low,Close
2018-01-02,40.587322096199095,41.2595611150767,40.49335245984902,40.75357437133789
2018-01-03,40.88368568400551,41.38244251377615,40.0596487046281,40.334327697753906
2018-01-04,40.493353993737145,41.418585040828944,40.34878595327754,41.41135787963867
2018-01-05,41.635438461925084,42.06914261183639,41.0210276963085,41.895660400390625
2018-01-08,41.70772428139248,42.14142567822109,40.99934386262242,41.678810119628906
2018-01-09,41.78000241792844,43.334103977365395,41.375215226563235,42.99436950683594
2018-01-10,43.073886420604104,44.30993787479618,42.5751295419142,43.77503967285156
2018-01-11,43.37747792461582,44.006348546008184,42.560673520583265,43.08834457397461
2018-01-12,43.095568425625814,44.22319585150923,42.86426065991733,43.948516845703125
2018-01-15,44.32439412105631,45.292996456039596,44.093086347693685,44.208740234375
2018-01-16,44.09308660586671,44.6930430422556,43.44253176609637,44.15814208984375
2018-01-17,44.09308185983211,44.10030902064891,42.2498470220908,42.466697692871094
2018-01-18,42.64740840989637,43.21845064190801,42.28598969455827,42.61126708984375
2018-01-19,42.611273808544276,42.726927705391866,41.85229493814403,42.04745864868164
2018-01-22,42.34382200707571,44.483420341939066,42.34382200707571,44.403907775878906
2018-01-23,44.36776598519047,45.27854001091068,43.5365017672869,44.90266418457031
2018-01-24,45.09782855340644,45.28576783659205,43.51481551340465,43.66661071777344
2018-01-25,43.94851778710048,44.39667624808467,42.64741088776843,44.3099365234375
2018-01-26,44.309935018281976,45.31467862998397,43.75334985234076,44.815921783447266
2018-01-29,44.79423982221672,44.946035032270245,42.575128964136795,43.27627944946289
2018-01-30,42.95099528431195,43.86177191640787,42.28598622618988,42.47392272949219
2018-01-31,42.16310895757912,43.6738365514279,42.06913931884295,43.240135192871094
2018-02-01,43.37024966852827,43.442532315013324,42.0257714876189,42.8931770324707
2018-02-02,42.61126233994618,43.435296477876626,42.21370234887166,43.29795837402344
2018-02-05,42.58234830440157,43.03773660832475,40.84031039603506,41.43303680419922
2018-02-06,40.26204545466074,40.34155801324874,38.903110312425895,40.11747741699219
2018-02-07,40.7680319604592,40.89814291783092,38.10076009174486,38.15858840942383
2018-02-08,38.02124507923663,39.35126596852993,37.95618960475032,38.866966247558594
2018-02-09,37.551409171390844,37.91282792615417,36.250302205724125,37.57309341430664
2018-02-12,37.57308511020166,39.66931452749947,37.56585794996244,39.33680725097656
2018-02-13,39.78497044594112,40.84031236928145,39.5247485454121,39.98013687133789
