date,n_pool,k,sig_long,sig_short
2020-02-21 00:00:00+00:00,10,2,0.0003749116666666668,0.00152403
2020-02-24 00:00:00+00:00,10,2,0.00021332500000000002,0.0012613983333333333
2020-02-27 00:00:00+00:00,10,2,-2.768666666666666e-05,0.0011921033333333333
2020-03-01 00:00:00+00:00,11,2,-0.0002204333333333333,0.0011752450000000001
2020-03-04 00:00:00+00:00,12,2,-0.0011868750000000002,0.0008807316666666668
2020-03-07 00:00:00+00:00,15,3,-8.121888888888892e-05,0.0012483722222222226
2020-03-10 00:00:00+00:00,16,3,-0.0005418233333333334,0.00135573
2020-03-13 00:00:00+00:00,17,3,-0.0026050144444444445,0.0003049666666666665
2020-03-16 00:00:00+00:00,17,3,-0.0024990788888888888,0.0006387588888888889
2020-03-19 00:00:00+00:00,17,3,-0.002457772222222222,0.0008584688888888889
2020-03-22 00:00:00+00:00,17,3,-0.0007619299999999997,0.00092917
2020-03-25 00:00:00+00:00,17,3,-0.0005795011111111107,0.00070306
2020-03-28 00:00:00+00:00,17,3,-0.0010615955555555556,0.0006941488888888887
2020-03-31 00:00:00+00:00,17,3,-0.0013465200000000001,0.0005870277777777778
2020-04-03 00:00:00+00:00,16,3,-0.0007115922222222221,0.00030370999999999995
2020-04-06 00:00:00+00:00,15,3,-0.0002924155555555555,0.00040457666666666694
2020-04-09 00:00:00+00:00,13,2,-2.6206666666666708e-05,0.0004842300000000001
2020-04-12 00:00:00+00:00,13,2,-0.00029710333333333343,0.0004407966666666665
2020-04-15 00:00:00+00:00,13,2,-0.0025866833333333334,0.0005000300000000004
2020-04-18 00:00:00+00:00,13,2,-0.002346401666666667,0.00031901333333333385
2020-04-21 00:00:00+00:00,13,2,-0.0017757900000000002,0.0003916633333333339
2020-04-24 00:00:00+00:00,14,2,-0.0008313633333333335,0.0003691450000000006
2020-04-27 00:00:00+00:00,14,2,-0.0002590916666666668,0.001041811666666667
2020-04-30 00:00:00+00:00,17,3,-0.0009060233333333334,0.0012447966666666666
2020-05-03 00:00:00+00:00,17,3,-0.0003383444444444443,0.0010867666666666664
2020-05-06 00:00:00+00:00,17,3,-0.00040314222222222223,0.0013057066666666663
2020-05-09 00:00:00+00:00,17,3,0.00010179222222222262,0.0021592244444444443
2020-05-12 00:00:00+00:00,17,3,-8.758333333333303e-05,0.0007530622222222219
2020-05-15 00:00:00+00:00,19,3,-0.00024855777777777784,0.00032588555555555554
2020-05-18 00:00:00+00:00,19,3,-0.0001025200000000001,0.0005064333333333332
2020-05-21 00:00:00+00:00,19,3,5.432444444444445e-05,0.0006251344444444443
2020-05-24 00:00:00+00:00,20,4,6.287166666666679e-05,0.0005115024999999998
2020-05-27 00:00:00+00:00,20,4,2.3619166666666578e-05,0.0004957658333333332
2020-05-30 00:00:00+00:00,19,3,1.423555555555546e-05,0.0005840888888888888
2020-06-02 00:00:00+00:00,20,4,0.0003798991666666669,0.0012889899999999998
2020-06-05 00:00:00+00:00,22,4,0.00015416333333333353,0.0009864049999999997
2020-06-08 00:00:00+00:00,22,4,0.0001571025000000003,0.0010062383333333332
2020-06-11 00:00:00+00:00,22,4,-0.0002569466666666664,0.0015733408333333334
2020-06-14 00:00:00+00:00,21,4,-6.439583333333334e-05,0.00068525
2020-06-17 00:00:00+00:00,20,4,-4.6991666666666605e-05,0.0006672591666666666
2020-06-20 00:00:00+00:00,20,4,-0.00018427833333333333,0.0007947116666666667
2020-06-23 00:00:00+00:00,20,4,-0.001614461666666667,0.0009077383333333334
2020-06-26 00:00:00+00:00,21,4,-0.0009347541666666666,0.0006501633333333333
2020-06-29 00:00:00+00:00,21,4,-0.001316168333333333,0.0006401958333333333
2020-07-02 00:00:00+00:00,21,4,-0.0006349508333333334,0.0006134766666666667
2020-07-05 00:00:00+00:00,21,4,-0.0015420416666666668,0.0012667374999999997
2020-07-08 00:00:00+00:00,21,4,3.8050000000001304e-06,0.0026633075
2020-07-11 00:00:00+00:00,21,4,0.0002165958333333334,0.0016655141666666665
2020-07-14 00:00:00+00:00,21,4,0.00021604249999999988,0.0019531941666666667
2020-07-17 00:00:00+00:00,23,4,-0.0004779533333333333,0.00150382
2020-07-20 00:00:00+00:00,25,5,8.761133333333344e-05,0.0012141866666666667
2020-07-23 00:00:00+00:00,26,5,0.0001589953333333332,0.0012527953333333333
2020-07-26 00:00:00+00:00,27,5,0.00035920066666666664,0.0031257919999999996
2020-07-29 00:00:00+00:00,29,5,0.0003576379999999997,0.0033538973333333334
2020-08-01 00:00:00+00:00,31,6,0.0008655555555555556,0.0036428683333333324
2020-08-04 00:00:00+00:00,31,6,0.0003940583333333334,0.0028149983333333327
2020-08-07 00:00:00+00:00,31,6,0.00034377277777777795,0.0034407949999999995
2020-08-10 00:00:00+00:00,32,6,-4.181666666666697e-06,0.003668448333333333
2020-08-13 00:00:00+00:00,32,6,-0.0016041033333333333,0.003576276111111111
2020-08-16 00:00:00+00:00,32,6,0.0008385455555555556,0.0052906372222222215
2020-08-19 00:00:00+00:00,32,6,0.0008116683333333337,0.0030335627777777776
2020-08-22 00:00:00+00:00,34,6,-0.00024882666666666676,0.0020129011111111113
2020-08-25 00:00:00+00:00,34,6,0.00027854611111111116,0.0019099533333333332
2020-08-28 00:00:00+00:00,36,7,0.00019020999999999998,0.0015081819047619049
2020-08-31 00:00:00+00:00,37,7,-0.00034905000000000005,0.003712111428571429
2020-09-03 00:00:00+00:00,37,7,-0.002258286190476191,0.002874440476190476
2020-09-06 00:00:00+00:00,37,7,-0.003047997619047619,0.0006003657142857143
2020-09-09 00:00:00+00:00,36,7,-0.0034129780952380953,0.0005192276190476191
2020-09-12 00:00:00+00:00,38,7,-0.00193940619047619,0.000625612380952381
2020-09-15 00:00:00+00:00,39,7,-0.0025228771428571425,0.0007489333333333334
2020-09-18 00:00:00+00:00,39,7,-0.0027250342857142854,0.00041934380952380945
2020-09-21 00:00:00+00:00,40,8,-0.0016520791666666667,0.0004592137499999999
2020-09-24 00:00:00+00:00,40,8,-0.0022779845833333333,0.00036883541666666664
2020-09-27 00:00:00+00:00,41,8,-0.0017539875,0.0005293075000000001
2020-09-30 00:00:00+00:00,42,8,-0.0017146891666666667,0.0005365008333333333
2020-10-03 00:00:00+00:00,44,8,-0.00211343,0.00040820375000000014
2020-10-06 00:00:00+00:00,46,9,-0.002786716666666667,0.00030705777777777785
2020-10-09 00:00:00+00:00,46,9,-0.00723485037037037,0.0005162500000000001
2020-10-12 00:00:00+00:00,45,9,-0.0034050648148148143,0.0004990585185185187
2020-10-15 00:00:00+00:00,46,9,-0.0022519925925925926,0.0004107074074074077
2020-10-18 00:00:00+00:00,46,9,-0.0032705355555555557,0.00041029185185185193
2020-10-21 00:00:00+00:00,46,9,-0.0018118200000000002,0.00046272481481481477
2020-10-24 00:00:00+00:00,48,9,-0.0008130881481481482,0.0012313577777777777
2020-10-27 00:00:00+00:00,46,9,-0.0015026518518518519,0.0009417937037037037
2020-10-30 00:00:00+00:00,48,9,-0.001643098148148148,0.0006125822222222224
2020-11-02 00:00:00+00:00,47,9,-0.0020423314814814815,0.00039880962962962987
2020-11-05 00:00:00+00:00,46,9,-0.0020995899999999997,0.0004709866666666667
2020-11-08 00:00:00+00:00,46,9,-0.0011347240740740736,0.0015960344444444447
2020-11-11 00:00:00+00:00,46,9,-0.0008539607407407406,0.0009627603703703706
2020-11-14 00:00:00+00:00,49,9,-0.0018364792592592595,0.000993522962962963
2020-11-17 00:00:00+00:00,51,10,-0.0016216053333333335,0.0014764453333333334
2020-11-20 00:00:00+00:00,54,10,-0.0002115576666666665,0.0022702163333333334
2020-11-23 00:00:00+00:00,56,11,0.0005297818181818183,0.003915250303030303
2020-11-26 00:00:00+00:00,57,11,0.0002773396969696973,0.003984222727272727
2020-11-29 00:00:00+00:00,59,11,-0.0017631699999999999,0.0005944036363636363
2020-12-02 00:00:00+00:00,61,12,-0.0006640677777777778,0.0013652505555555555
2020-12-05 00:00:00+00:00,64,12,-0.0004390702777777779,0.0011240733333333333
2020-12-08 00:00:00+00:00,63,12,-0.0004066708333333334,0.0008520200000000001
2020-12-11 00:00:00+00:00,64,12,-0.0004616333333333333,0.0005026033333333334
2020-12-14 00:00:00+00:00,64,12,-0.0013097444444444446,0.0005150663888888892
2020-12-17 00:00:00+00:00,64,12,-0.0002682899999999999,0.0016867577777777778
2020-12-20 00:00:00+00:00,68,13,9.136564102564105e-05,0.002601943846153846
2020-12-23 00:00:00+00:00,68,13,-0.0009124041025641027,0.0009973935897435897
2020-12-26 00:00:00+00:00,69,13,-0.002263449230769231,0.0003467989743589744
2020-12-29 00:00:00+00:00,70,14,-0.0006244192857142856,0.0013256395238095237
2021-01-01 00:00:00+00:00,69,13,-0.0013375961538461536,0.0016407530769230773
2021-01-04 00:00:00+00:00,69,13,0.0003720069230769231,0.004168468205128204
2021-01-07 00:00:00+00:00,71,14,-0.0004150295238095237,0.005450338333333334
2021-01-10 00:00:00+00:00,72,14,0.0009947235714285712,0.0045603154761904765
2021-01-13 00:00:00+00:00,75,15,-0.0003719815555555554,0.0011676844444444446
2021-01-16 00:00:00+00:00,76,15,0.0002042226666666668,0.002401002444444445
2021-01-19 00:00:00+00:00,78,15,0.0007749471111111111,0.004062081555555554
2021-01-22 00:00:00+00:00,79,15,-0.0008471391111111109,0.0013078302222222222
2021-01-25 00:00:00+00:00,80,16,-0.00040958104166666654,0.0018549925
2021-01-28 00:00:00+00:00,80,16,-0.00029475499999999984,0.0011174006249999998
2021-01-31 00:00:00+00:00,80,16,0.0002891454166666667,0.004552062083333332
2021-02-03 00:00:00+00:00,80,16,0.0014481627083333334,0.00541953125
2021-02-06 00:00:00+00:00,80,16,0.002665576875,0.0077877983333333334
2021-02-09 00:00:00+00:00,80,16,0.003074509166666667,0.00766612875
