lookback,quant,rebal,split,ann,sharpe,bench_ann,bench_sharpe
2,5,1,TRAIN,0.0,0.0,0.0,0.0
2,5,1,VALID,0.0,0.0,0.0,0.0
2,5,1,TEST,0.0,0.0,0.0,0.0
2,5,3,TRAIN,0.0,0.0,0.0,0.0
2,5,3,VALID,0.0,0.0,0.0,0.0
2,5,3,TEST,0.0,0.0,0.0,0.0
2,5,7,TRAIN,0.0,0.0,0.0,0.0
2,5,7,VALID,0.0,0.0,0.0,0.0
2,5,7,TEST,0.0,0.0,0.0,0.0
2,10,1,TRAIN,0.0,0.0,0.0,0.0
2,10,1,VALID,0.0,0.0,0.0,0.0
2,10,1,TEST,0.0,0.0,0.0,0.0
2,10,3,TRAIN,0.0,0.0,0.0,0.0
2,10,3,VALID,0.0,0.0,0.0,0.0
2,10,3,TEST,0.0,0.0,0.0,0.0
2,10,7,TRAIN,0.0,0.0,0.0,0.0
2,10,7,VALID,0.0,0.0,0.0,0.0
2,10,7,TEST,0.0,0.0,0.0,0.0
3,5,1,TRAIN,0.6580438225649609,2.7811144803172687,0.6335207216605941,0.6328576591991263
3,5,1,VALID,0.07234398118624279,0.6584265410483817,0.6069834214702413,0.8983221806650691
3,5,1,TEST,0.03734953275289103,0.18799323474301569,-0.15664750965448251,-0.20113964362731854
3,5,3,TRAIN,0.5724765485234667,2.5284776055636713,0.5509897245842933,0.5630349315483245
3,5,3,VALID,0.03989126397287832,0.3502642997591711,0.5921447968628,0.8792794932661459
3,5,3,TEST,-0.09013083147543813,-0.4151742862575355,-0.15621604014650478,-0.20134796470632765
3,5,7,TRAIN,0.4573836117754587,1.8641707372520167,0.5879170098108528,0.5993944127873093
3,5,7,VALID,0.06486812886235324,0.5556777853971927,0.6059082442746458,0.9055964003416503
3,5,7,TEST,0.11783124755959813,0.4314897458582367,-0.14734507664158444,-0.1892616184372367
3,10,1,TRAIN,0.7993649008668315,2.5991730713615495,0.5904121498078503,0.6378442252789347
3,10,1,VALID,0.03411168641629848,0.20498106072267794,0.6069834214702413,0.8983221806650691
3,10,1,TEST,0.110769889571388,0.34020292677447234,-0.15664750965448251,-0.20113964362731854
3,10,3,TRAIN,0.790354375439185,2.650688761991296,0.6022250806515752,0.6623298858428184
3,10,3,VALID,0.03493705016692664,0.1999252299830705,0.5921447968628,0.8792794932661459
3,10,3,TEST,-0.14924915313750142,-0.4204771757177665,-0.15621604014650478,-0.20134796470632765
3,10,7,TRAIN,0.6657086607974457,2.130637206173552,0.6303460234089652,0.691516159766086
3,10,7,VALID,-0.0705031963193406,-0.41899252348026894,0.6059082442746458,0.9055964003416503
3,10,7,TEST,0.2141669817925425,0.4469595418398465,-0.14734507664158444,-0.1892616184372367
5,5,1,TRAIN,0.6185563838230979,2.706383452719343,0.6335207216605941,0.6328576591991263
5,5,1,VALID,0.0880040647620703,0.8051473721031139,0.6069834214702413,0.8983221806650691
5,5,1,TEST,0.02509116008361323,0.12425276828521474,-0.15664750965448251,-0.20113964362731854
5,5,3,TRAIN,0.5449497753103294,2.4035115540083876,0.5509897245842933,0.5630349315483245
5,5,3,VALID,0.08755730868221022,0.7949324216720541,0.5921447968628,0.8792794932661459
5,5,3,TEST,-0.04832074909663373,-0.22697365829698093,-0.15621604014650478,-0.20134796470632765
5,5,7,TRAIN,0.41181457766714563,1.6908637976058445,0.5879170098108528,0.5993944127873093
5,5,7,VALID,0.05966627147742312,0.522582545151681,0.6059082442746458,0.9055964003416503
5,5,7,TEST,0.16116408466005555,0.5795572360951092,-0.14734507664158444,-0.1892616184372367
5,10,1,TRAIN,0.751407358151048,2.53799365437303,0.5904121498078503,0.6378442252789347
5,10,1,VALID,0.06868567364954921,0.41413930068120236,0.6069834214702413,0.8983221806650691
5,10,1,TEST,0.03893756245960443,0.11945820919846334,-0.15664750965448251,-0.20113964362731854
5,10,3,TRAIN,0.8383944501382363,2.7784030232990977,0.6022250806515752,0.6623298858428184
5,10,3,VALID,-0.005382919720944577,-0.03206605810068998,0.5921447968628,0.8792794932661459
5,10,3,TEST,-0.16645910041212825,-0.4699102354286587,-0.15621604014650478,-0.20134796470632765
5,10,7,TRAIN,0.6525489810059014,2.0942081710341522,0.6303460234089652,0.691516159766086
5,10,7,VALID,-0.04589135783462872,-0.2687384602412752,0.6059082442746458,0.9055964003416503
5,10,7,TEST,0.3457439743505832,0.6964432190861669,-0.14734507664158444,-0.1892616184372367
