date,open,high,low,close,volume
2018-01-02,575.621091378178,583.9757982779323,567.3074902326297,578.7869873046875,4961248
2018-01-03,576.8546409007004,593.2187484378197,575.4073567933143,588.6630859375,5201941
2018-01-04,593.2188138394876,611.3919783242266,591.5166136066701,606.1044921875,7220508
2018-01-05,609.336087173243,613.4723602773247,598.8268657890092,607.1651611328125,3998907
2018-01-08,604.4186512958485,622.0819808376243,604.4186512958485,618.4884643554688,5220456
2018-01-09,618.5544214235465,643.8735164741568,618.5544214235465,643.4788208007812,6459195
2018-01-10,645.5181272567942,648.7087176844378,636.0450298889289,646.1019897460938,4771424
2018-01-11,647.1627061416502,647.9850221596193,634.8279658721144,637.138671875,5065607
2018-01-12,636.2835436068449,648.6429284685876,630.7329099418859,648.3304443359375,4598824
2018-01-15,652.4747003339088,657.0796486503064,640.6004584000132,645.8221435546875,5247313
2018-01-16,641.8011352952578,648.4865679704319,631.5386483209015,635.6008911132812,6542833
2018-01-17,633.1833098921707,636.4725738396625,607.2885874959711,615.0347900390625,9070954
2018-01-18,615.0348140139512,629.0717544798736,611.8771486077725,617.3455200195312,5897851
2018-01-19,619.1216741241038,624.0555696272094,607.7079251783719,616.8849487304688,5092556
2018-01-22,618.2254613361918,636.4726574907233,618.2254613361918,636.1766357421875,6712675
2018-01-23,639.6057170386921,641.4065913990742,632.0321672948561,636.2918090820312,4954918
2018-01-24,638.479076814754,638.4955391966387,623.8089363773546,628.6277465820312,4329881
2018-01-25,625.782537609159,638.1172788235314,617.5593767995774,632.4926147460938,5004072
2018-01-26,630.9138451836327,639.2686055103795,628.2495488446182,639.1205444335938,4397833
2018-01-29,640.386696381684,641.1349817180071,604.4021469235362,605.4876098632812,7453551
2018-01-30,605.2245480616066,615.725538957719,600.3071146694647,610.2242431640625,5191103
2018-01-31,607.6914890466184,634.5894619279595,607.6914890466184,628.6934204101562,6040241
2018-02-01,630.7163914756181,630.9630762451983,619.1381677848473,623.093505859375,5058261
2018-02-02,618.5624421724474,619.39298926183,596.1790274669735,608.8427124023438,7542082
2018-02-05,598.0044886591096,600.2576761736817,580.2260245825996,590.6118774414062,9899585
2018-02-06,578.088161559337,594.2055354613035,578.088161559337,582.9069213867188,8816871
2018-02-07,592.0673961449872,595.2579855727603,560.8276258704874,561.9953002929688,8828998
2018-02-08,560.9840026823689,590.4229063597626,560.9840026823689,576.435302734375,8340943
2018-02-09,559.1747630258212,567.3074786101771,541.08381481028,561.9953002929688,10557826
2018-02-12,568.2202980841324,580.1438788688212,563.4508758082931,573.5488891601562,6417955
2018-02-13,579.7491864583176,587.8078724429405,579.3215661187064,585.4724731445312,5338918
2018-02-14,592.0676097403086,592.0676097403086,585.669966199322,590.7930297851562,3065260
2018-02-22,598.0703365770307,611.803021973889,594.7317360722535,610.5284423828125,5076469
2018-02-23,614.2699845587167,622.1313226480055,606.046825461545,610.5531005859375,3815877
2018-02-26,614.1715311853866,618.4228919118411,602.7742406301096,611.4003295898438,4365824
2018-02-27,615.914722145214,621.6709345017114,606.2278149739894,606.852783203125,4260154
2018-02-28,601.9352836567732,610.4051280199179,591.2451761601366,596.6889038085938,4833067
2018-03-01,598.6460584335738,614.1466952276543,595.1676777538098,610.1337890625,4479465
2018-03-02,606.8691499063309,611.4412244210532,600.2906225360725,605.5616455078125,2599190
2018-03-05,607.0172776003352,610.1585310471473,589.625322631367,592.1580200195312,3723470
2018-03-06,596.1790591446003,598.3170605220115,573.2611178103527,590.6366577148438,6457036
2018-03-07,587.9559024334894,595.3567459606243,583.013775558829,583.877197265625,3459594
2018-03-08,587.1336615519731,595.3568220779111,582.1997652364104,594.337158203125,3534930
2018-03-09,598.2759603953675,602.404002532201,594.9455908302767,598.8104858398438,3017100
2018-03-12,599.9205003033749,603.5140164446848,594.3452251067895,595.3155517578125,3988841
2018-03-13,594.5344584217693,597.4947758980029,583.8443505939919,584.1321411132812,3857709
2018-03-14,583.5730202911137,598.7118869595987,581.5583359197327,597.72509765625,3735576
2018-03-15,598.6624782469747,614.270019028363,598.6624782469747,613.8341674804688,5614879
2018-03-16,614.76332889918,620.0097082039368,607.5927585508397,608.390380859375,3585552
2018-03-19,611.7783997584659,620.018021995615,607.6915134010358,619.5986328125,3866658
2018-03-20,616.7370348143568,618.381666907195,608.5138743501653,614.870361328125,2887720
