date,bench_zz500
2015-01-05,0.0
2015-01-06,0.011600474061384203
2015-01-07,0.001529236148368751
2015-01-08,-0.008053583662522068
2015-01-09,-0.006425375272775313
2015-01-12,-0.01420579546168843
2015-01-13,0.01366597777286005
2015-01-14,-0.004690023662880849
2015-01-15,0.012881663426113521
2015-01-16,0.013044499581577718
2015-01-19,-0.04315485895234161
2015-01-20,0.036087392794259765
2015-01-21,0.02543257116021702
2015-01-22,0.013983309840707614
2015-01-23,-0.009994446553348246
2015-01-26,0.022312005950341662
2015-01-27,0.002576845205227274
2015-01-28,-0.005871329553051474
2015-01-29,-0.006743996432006072
2015-01-30,-0.012011485281194778
2015-02-02,-0.004143639052466397
2015-02-03,0.017486749896156173
2015-02-04,-0.004197999817782794
2015-02-05,-0.005155255897753563
2015-02-06,-0.021122276812716945
2015-02-09,-0.005387738288173516
2015-02-10,0.013756659890971079
2015-02-11,0.01094665543748996
2015-02-12,0.00701018648336782
2015-02-13,0.015476982542850903
2015-02-16,0.017409481615525024
2015-02-17,0.007051455693722675
2015-02-25,-0.0007714300214850534
2015-02-26,0.01066952903053231
2015-02-27,0.008191558506824625
2015-03-02,0.02015964216759758
2015-03-03,-0.0034414857837157253
2015-03-04,0.014996747653898135
2015-03-05,-0.0002302581789960234
2015-03-06,-0.01223387378623575
2015-03-09,0.012915312659484757
2015-03-10,0.010340875433016095
2015-03-11,-0.0021652263689200257
2015-03-12,-0.0004390944116853257
2015-03-13,0.011092403684262564
2015-03-16,0.029573842182261778
2015-03-17,0.015541441542359147
2015-03-18,0.016624232213416246
2015-03-19,0.008084041931787356
2015-03-20,0.010090734040451244
2015-03-23,0.024266884642893727
2015-03-24,0.0041284567096329106
2015-03-25,0.01117636372925812
2015-03-26,-0.007078023879733997
2015-03-27,0.011521053256512204
2015-03-30,0.012514769188416208
2015-03-31,0.0010489269201574558
2015-04-01,0.023800857564351574
2015-04-02,0.01816925743327591
2015-04-03,0.015654738679875546
2015-04-07,0.023996582892846785
2015-04-08,-0.007030145181145753
2015-04-09,-0.007921362704918056
2015-04-10,0.02659902015840121
2015-04-13,0.021465784896990803
2015-04-14,-0.0003607090579831329
2015-04-15,-0.03906546337666683
2015-04-16,0.014013008234276425
2015-04-17,0.008679122709675857
2015-04-20,-0.017649948125241233
2015-04-21,0.03479508667202391
2015-04-22,0.025976587297185105
2015-04-23,0.010484860207871094
2015-04-24,0.0009975388493228543
2015-04-27,0.0111567877288401
2015-04-28,-0.02896034544732662
2015-04-29,0.01956939350243392
2015-04-30,0.0049144247026369214
2015-05-04,0.00481836954686532
2015-05-05,-0.036559630009118105
2015-05-06,-0.014188946915239531
2015-05-07,-0.022209575652604285
2015-05-08,0.03768086969284434
2015-05-11,0.04352120215234412
2015-05-12,0.021904087532220506
2015-05-13,0.009061616706762754
2015-05-14,-0.00130765909757935
2015-05-15,-0.00800032677550866
2015-05-18,0.018381814688066322
2015-05-19,0.024848403846088996
2015-05-20,0.016712640125898126
2015-05-21,0.03685219777673088
2015-05-22,0.01652420882358463
2015-05-25,0.026786198235457137
2015-05-26,0.033215837706634055
2015-05-27,0.011930307569807175
2015-05-28,-0.059912320645039596
2015-05-29,0.009973227730477596
2015-06-01,0.05232049476062617
2015-06-02,0.03795559055748732
2015-06-03,0.008596965020576164
2015-06-04,-0.0013278700618124528
2015-06-05,0.0163340905629612
2015-06-08,-0.010193350633315723
2015-06-09,-0.0015574403585557617
2015-06-10,0.017643416314530702
2015-06-11,0.014117518999720025
2015-06-12,0.015801110124763484
2015-06-15,-0.01844812309834931
2015-06-16,-0.03997656378911285
2015-06-17,0.02028614391388106
2015-06-18,-0.03325691069361425
2015-06-19,-0.06932659173377509
2015-06-23,0.005954496711359614
2015-06-24,0.021971995286098833
2015-06-25,-0.03521065718184224
2015-06-26,-0.0835878902898215
2015-06-29,-0.06536962151646775
2015-06-30,0.049663863169209455
2015-07-01,-0.055480450302155204
2015-07-02,-0.06857063377996198
2015-07-03,-0.06121300302484978
2015-07-06,-0.01624500883013913
2015-07-07,-0.06529436152570489
2015-07-08,-0.023827794066116348
2015-07-09,0.044526435204328196
2015-07-10,0.05052382782196374
2015-07-13,0.062231013226074605
2015-07-14,0.021236727857238513
2015-07-15,-0.05773845727097138
2015-07-16,0.023425146078006387
2015-07-17,0.054882329035356614
2015-07-20,0.015235093249277742
2015-07-21,0.01280847656009354
2015-07-22,0.012138006875527685
2015-07-23,0.0278537638337355
2015-07-24,-0.014840990225666761
2015-07-27,-0.07488246388457298
2015-07-28,-0.01852151220526088
2015-07-29,0.04875670277209143
2015-07-30,-0.027698559106546394
2015-07-31,-0.00942494019675455
2015-08-03,-0.024181253930990576
2015-08-04,0.05329957653699302
2015-08-05,-0.012938643431837926
2015-08-06,-0.006034946819502673
2015-08-07,0.028399531315972837
2015-08-10,0.04751713397193669
2015-08-11,0.0049129804421921275
2015-08-12,-0.011735166259055685
2015-08-13,0.023762226588646795
2015-08-14,0.010640429413563579
2015-08-17,0.022633573094777537
2015-08-18,-0.07473419753618282
2015-08-19,0.022019857203596782
2015-08-20,-0.034944335078132216
2015-08-21,-0.05424056868057814
2015-08-24,-0.07969499139618286
2015-08-25,-0.07490233636255939
2015-08-26,-0.03747332756298405
2015-08-27,0.0348687912056207
2015-08-28,0.059917348971354034
2015-08-31,-0.03822653878697446
2015-09-01,-0.06261671308599659
2015-09-02,-0.007563367108592511
2015-09-07,0.003431576712317641
2015-09-08,0.03764755288464672
2015-09-09,0.02763359137862076
2015-09-10,-0.016898157688661763
2015-09-11,0.00823097024832653
2015-09-14,-0.06830558173630741
2015-09-15,-0.05649121705050919
2015-09-16,0.06601401884713298
2015-09-17,-0.019627467608022586
2015-09-18,0.011980735607443727
2015-09-21,0.035375889532341054
2015-09-22,0.007277887636710556
2015-09-23,-0.011329541465676995
2015-09-24,0.014540693377887548
2015-09-25,-0.03273577182345189
2015-09-28,0.018222507440597946
2015-09-29,-0.01866330958616913
2015-09-30,0.0032964098295926725
2015-10-08,0.04062230046066695
2015-10-09,0.015309557174667976
2015-10-12,0.03843401519308198
2015-10-13,0.012407125166698396
2015-10-14,-0.011405334838755166
2015-10-15,0.03044687337348506
2015-10-16,0.01707546570763907
2015-10-19,-2.6959685337946127e-05
2015-10-20,0.01627699411269745
2015-10-21,-0.0627387574559346
2015-10-22,0.037475010204476966
2015-10-23,0.024974512872794064
2015-10-26,0.006797203228251281
2015-10-27,0.006218388005704956
2015-10-28,-0.025242551967519566
2015-10-29,0.008523315694647371
2015-10-30,-0.0033774184200826562
2015-11-02,-0.02096550867540725
2015-11-03,-0.0023542369778113414
2015-11-04,0.05027239490758806
2015-11-05,0.0011640082058450574
2015-11-06,0.023418012904644403
2015-11-09,0.01301892746597555
2015-11-10,0.004137172247408394
2015-11-11,0.014476548545810486
2015-11-12,-0.0002888868357392438
2015-11-13,-0.015013439723005062
2015-11-16,0.02005256960715518
2015-11-17,-0.008870492366090832
2015-11-18,-0.016135146228030584
2015-11-19,0.025465859964341364
2015-11-20,0.011355656840212447
2015-11-23,-0.007953862728294014
2015-11-24,0.0070142997709246035
2015-11-25,0.015885106110149483
2015-11-26,-0.006096652773535216
2015-11-27,-0.06324040395830366
2015-11-30,0.004376284550685172
2015-12-01,0.004797257167539648
2015-12-02,-0.005115570517763457
2015-12-03,0.022232394347179163
2015-12-04,-0.007772263691613879
2015-12-07,0.012055907674325406
2015-12-08,-0.026056828062292148
2015-12-09,-0.004034229498631858
2015-12-10,-0.003262695832943474
2015-12-11,-0.008096367314675446
2015-12-14,0.020619419260153427
2015-12-15,0.007680388333335619
2015-12-16,0.0041636770522979205
2015-12-17,0.024816054400085052
2015-12-18,-0.002187591122630783
2015-12-21,0.011584064670226324
2015-12-22,0.008737173495485528
2015-12-23,-0.01060635566739343
2015-12-24,-0.002603791449684034
2015-12-25,0.005040603427816759
2015-12-28,-0.024224472929061713
2015-12-29,0.009341922518465662
2015-12-30,0.008686032375211594
2015-12-31,-0.015935822659716825
2016-01-04,-0.08269698556911609
2016-01-05,-0.014023152010738782
2016-01-06,0.025526362388130774
2016-01-07,-0.0853953161864297
2016-01-08,0.016741872787145118
2016-01-11,-0.06723608652706148
2016-01-12,0.0013053424402724723
2016-01-13,-0.03464751183868753
2016-01-14,0.033892411259883515
2016-01-15,-0.037738251899647524
2016-01-18,0.014461253410432695
2016-01-19,0.036491601311944954
2016-01-20,-0.009454437485981293
2016-01-21,-0.040990469984523936
2016-01-22,0.015921846546897322
2016-01-25,0.01015281049926342
2016-01-26,-0.07482127279920148
2016-01-27,-0.013439941602809813
2016-01-28,-0.044060868414037224
2016-01-29,0.037543419657271704
2016-02-01,-0.012735115091431437
2016-02-02,0.03466074510878836
2016-02-03,0.004213631473714896
2016-02-04,0.019842535965933328
2016-02-05,-0.010013125951456647
2016-02-15,0.0006779421630591642
2016-02-16,0.041370561957925434
2016-02-17,0.01166957220039544
2016-02-18,-0.0023913949971614556
2016-02-19,0.003758521301364892
2016-02-22,0.020770897998501514
2016-02-23,-0.005442582556211661
2016-02-24,0.006678197842022948
2016-02-25,-0.07936292349583696
2016-02-26,0.004068573866211622
2016-02-29,-0.052843542328295134
2016-03-01,0.023026186680322747
2016-03-02,0.05106665960249401
2016-03-03,0.004142078687327855
2016-03-04,-0.026903330113657864
2016-03-07,0.023301361187997527
2016-03-08,0.0020477875029334403
2016-03-09,-0.02555197221533123
2016-03-10,-0.016928845085667943
2016-03-11,-0.0023488079392244288
2016-03-14,0.032966175226630146
2016-03-15,-0.008925260825327408
2016-03-16,-0.01365296641724889
2016-03-17,0.03292945998418051
2016-03-18,0.03537777715898782
2016-03-21,0.025250199184436273
2016-03-22,-0.003933122167791292
2016-03-23,0.00715662440395759
2016-03-24,-0.016432504163282458
2016-03-25,0.00980489896019221
2016-03-28,-0.006524139315467359
2016-03-29,-0.01919745336862222
2016-03-30,0.036412484569907866
2016-03-31,0.002983299389001992
2016-04-01,-0.005081378405116577
2016-04-05,0.02645917319369806
2016-04-06,0.005861692685052988
2016-04-07,-0.014938095305870425
2016-04-08,-0.009669335379685617
2016-04-11,0.021975314245696875
2016-04-12,-0.008173786145963868
2016-04-13,0.014627117261629463
2016-04-14,0.00908226845495852
2016-04-15,-0.002733584823137014
2016-04-18,-0.016156695669880317
2016-04-19,0.0043033178373559355
2016-04-20,-0.04534076912224183
2016-04-21,-0.008556659432334635
2016-04-22,0.006806594893713935
2016-04-25,-0.005529567549223735
