,turnover
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,1.0083790727819322
2016-01-28,0.004868453586890682
2016-01-29,0.0
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,1.2772605600663203
2016-03-03,0.0005282084088501838
2016-03-04,0.00019687369994682608
2016-03-07,0.0019250340707966174
2016-03-08,0.0109259288166503
2016-03-09,0.0010114440808641526
2016-03-10,0.000330001718840701
2016-03-11,0.0002669461728742572
2016-03-14,0.02605478659502091
2016-03-15,0.01427894740064627
2016-03-16,0.0007073857347477115
2016-03-17,0.0001255851438768532
2016-03-18,0.0005079963481551523
2016-03-21,0.0012881197042987646
2016-03-22,0.0005103804908612002
2016-03-23,0.000968100520628128
2016-03-24,0.0003933382949917896
2016-03-25,0.00017049467317848288
2016-03-28,0.0007812693766414262
2016-03-29,0.0008452474955896483
2016-03-30,1.295696988040356
2016-03-31,0.00011283260218563983
2016-04-01,0.0005181730020693191
2016-04-05,0.010389127464807042
2016-04-06,0.009307568635384688
2016-04-07,0.001239510156026102
2016-04-08,0.0001605646146314281
2016-04-11,0.0002499439773031742
2016-04-12,0.0011515886813933986
2016-04-13,0.0002449517083732207
2016-04-14,0.0006946574812310825
2016-04-15,0.007167482887266961
2016-04-18,0.0
2016-04-19,0.00023544389529064417
2016-04-20,0.0005549018919571436
2016-04-21,0.0002217785343024539
2016-04-22,1.6309593691635877e-20
2016-04-25,0.0
2016-04-26,0.00031429632619458283
2016-04-27,0.0
2016-04-28,1.3822506371814012
2016-04-29,0.00019621895590370543
2016-05-03,0.007830891908801853
2016-05-04,0.0003751193206522026
2016-05-05,3.1611167636492655e-20
2016-05-06,0.011462176321435334
2016-05-09,0.0003972464470957439
2016-05-10,0.008458662277404293
2016-05-11,0.0
2016-05-12,0.00041033698517307384
2016-05-13,0.00010938190195178282
2016-05-16,0.009091729622039363
2016-05-17,0.008770300226116908
2016-05-18,0.0
2016-05-19,0.01239477576717605
2016-05-20,0.00030117638177841856
2016-05-23,0.0001420898313402083
2016-05-24,-1.7366250252713035e-20
2016-05-25,0.00011351856901347153
2016-05-26,8.667587387244661e-21
2016-05-27,1.2448507705313072
2016-05-30,0.02530264202736183
2016-05-31,0.0004720023331780383
2016-06-01,0.00024778226266262824
2016-06-02,1.6297320132442804e-20
2016-06-03,0.0003204899551180322
2016-06-06,0.0
2016-06-07,0.016213045283200403
2016-06-08,0.013744147062872391
2016-06-13,0.00018074199215049408
2016-06-14,0.00035630693502034443
2016-06-15,0.0
2016-06-16,0.0004659317493882019
2016-06-17,0.0006860652044547367
2016-06-20,0.0004647204032048992
2016-06-21,3.2811620048243476e-20
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-27,0.00010546634393866754
2016-06-28,1.1748642087653116
2016-06-29,0.00021256674229516636
2016-06-30,0.00019866938613170992
2016-07-01,1.6015409815891398e-20
2016-07-04,0.00016639491151357625
2016-07-05,0.00656334782725859
2016-07-06,0.0
2016-07-07,0.0005335534369063499
2016-07-08,0.0003026295910539108
2016-07-11,0.016522621005672287
2016-07-12,0.012100770608816088
2016-07-13,0.000505267589511427
2016-07-14,3.103884381056681e-20
2016-07-15,0.00015672889730155909
2016-07-18,0.00016495287172866967
2016-07-19,0.0
2016-07-20,0.0003970978072902776
2016-07-21,0.008957645596758402
2016-07-22,0.011135346682588317
2016-07-25,0.00028286298877037183
2016-07-26,1.2982106897822405
2016-07-27,0.0001646560270709983
2016-07-28,0.013648673833749347
2016-07-29,0.015749877298475677
2016-08-01,0.0002482822503095112
2016-08-02,0.006090789180464706
2016-08-03,0.0071865169245088605
2016-08-04,0.0
2016-08-05,0.01529596968301548
2016-08-08,0.006591757318293826
2016-08-09,0.00025496953246210036
2016-08-10,3.2670640864132164e-20
2016-08-11,0.0
2016-08-12,0.0
2016-08-15,0.00011643441576759816
2016-08-16,0.00023048801985198368
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-22,0.009268483152106944
2016-08-23,1.3066154387343716
2016-08-24,0.0
2016-08-25,0.00624318227147488
2016-08-26,0.006664366925637017
2016-08-29,5.154235119744716e-19
2016-08-30,0.0002105426781113138
2016-08-31,0.0003414140439509163
2016-09-01,0.01720291736023681
2016-09-02,0.006451340476459076
2016-09-05,-5.18562302480044e-19
2016-09-06,0.007260152379053036
2016-09-07,0.0001771418210285002
2016-09-08,0.0005702967349000925
2016-09-09,3.225943539752086e-20
2016-09-12,0.0007528018723588987
2016-09-13,0.007914713592464833
2016-09-14,0.0006315147821346932
2016-09-19,0.0006644645214195544
2016-09-20,0.0007434224168644714
2016-09-21,0.00021829210433633244
2016-09-22,1.2917672633697956
2016-09-23,0.006985585314890688
2016-09-26,0.008742177435301023
2016-09-27,0.021150711753056085
2016-09-28,0.006169968493237274
2016-09-29,0.012928816214417353
2016-09-30,1.0550057136628057e-18
2016-10-10,0.014999064525537889
2016-10-11,0.0002287936826594223
2016-10-12,-1.5994444601495687e-20
2016-10-13,0.0005181722453376298
2016-10-14,0.0062358353012826944
2016-10-17,0.0001210182763105549
2016-10-18,7.943263768173492e-21
2016-10-19,8.781063250686327e-37
2016-10-20,0.0008472312565704739
2016-10-21,0.0017274870675239309
2016-10-24,1.2587020389884419e-19
2016-10-25,0.0010987860476753598
2016-10-26,0.001940211267490701
2016-10-27,1.2929779434831943
2016-10-28,0.007381441547490829
2016-10-31,0.0007185644582835579
2016-11-01,0.0133801761993289
2016-11-02,0.007303253509363709
2016-11-03,0.02035767117315406
2016-11-04,0.00016452040841941857
2016-11-07,0.021169850502406044
2016-11-08,0.00037794649083345026
2016-11-09,0.006638979436069047
2016-11-10,0.0007568296736363635
2016-11-11,0.0
2016-11-14,0.0002690279745528819
2016-11-15,-1.5090546669764462e-20
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-21,0.007546489622960973
2016-11-22,0.0008010649286506322
2016-11-23,0.00011525931042679666
2016-11-24,1.2486191157971784
2016-11-25,0.02084175453854428
2016-11-28,0.000319955762184085
2016-11-29,0.0076430218773260806
2016-11-30,0.0004661277356172161
2016-12-01,0.006947635108091662
2016-12-02,0.0002498442006052115
2016-12-05,0.015200006183924484
2016-12-06,0.001131710764984101
2016-12-07,0.007480266346770333
2016-12-08,5.042458097590953e-19
2016-12-09,0.0
2016-12-12,0.015411869374261656
2016-12-13,0.0028538291428225064
2016-12-14,0.0
2016-12-15,0.0015113366757718485
2016-12-16,0.010411254868345841
2016-12-19,0.007431329097674743
2016-12-20,0.0001847676859965525
2016-12-21,0.00033260918106726945
2016-12-22,1.2661631465192564
2016-12-23,0.0
2016-12-26,0.017892326720475
2016-12-27,2.068839906089864e-18
